entries|examples|translation|nwords|counter|firsttime|lasttime
ab|1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.|1. The ride costs 200 euros from Hamburg. 2. From next week our business will remain closed on Saturdays. 3. My brother visits us from time to time. |1|0|never|never
abbiegen, biegt ab, bog ab, ist abgebogen|An der nächsten Kreuzung müssen Sie links abbiegen.|At the next intersection you have to turn left. |4|0|never|never
die Abbildung, -en|Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.|On the picture you can see how to turn on the device. |2|0|never|never
das Abenteuer, -|1. Unser Urlaub war ein tolles Abenteuer. 2. Die Kinder lieben Abenteuergeschichten.|1. Our holiday was a great adventure. 2. The children love adventure stories. Expensive stories. |2|0|never|never
aber|1. Heute kann ich nicht, aber morgen ganz bestimmt. 2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. 3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. 4. Es war sehr schön. Jetzt muss ich aber gehen. 5. Ich würde gerne kommen, aber es geht leider nicht. 6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern. 7. Du spielst aber gut Klavier.|1. Today I can not, but tomorrow. 2. It was a lot of snow, but Enzo has nevertheless driven the motorcycle. 3. We only have a small apartment, but are satisfied with it. 4. It was very nice. But now I have to go. 5. I would like to come, but unfortunately it is not possible. 6. May I invite you to a coffee? - But yes, very much. 7. But you play a lot of piano. |1|0|never|never
abfahren, fährt ab, fuhr ab, ist abgefahren|Unser Zug ist pünktlich abgefahren.|Our train has dropped on time. |4|0|never|never
die Abfahrt, -en|Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.|It stays twenty minutes until the departure. |2|0|never|never
der Abfall, ¨-e|Werfen Sie den Bioabfall bitte nicht zum normalen Müll.|Please do not throw the biowaste to normal waste. |2|0|never|never
der Abfalleimer, -|Wirf das bitte in den Abfalleimer!|Please throw that in the trash can! |2|0|never|never
Abgase (Pl.)|Abgase aus Industrie und Haushalten verschmutzen die Luft.|Exhaust gases from industry and households pollute the air. |1|0|never|never
abgeben, gibt ab, gab ab, hat abgegeben|Ich soll dieses Päckchen bei Herrn Müller abgeben.|I should give this packet with Mr. Müller. |4|0|never|never
abhängen, hängt ab, hing ab, hat abgehangen (von)|Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.|Maybe we'll stay a few days longer, that depends on the weather. |4|0|never|never
abhängig|Gregor ist finanziell von seinen Eltern abhängig.|Gregor is financially dependent on his parents. |1|0|never|never
abheben, hebt ab, hob ab, hat abgehoben|Für die Reise habe ich 500 Euro von meinem Konto abgehoben.|For the trip I lifted 500 euros from my account. |4|0|never|never
abholen, holt ab, holte ab, hat abgeholt|Meine Freundin hat mich vom Bahnhof abgeholt.|My girlfriend picked me up from the train station. |4|0|never|never
abschreiben, schreibt ab, schrieb ab, hat abgeschrieben|Er hat die Hausaufgaben von mir abgeschrieben.|He wrote off the homework of me. |4|0|never|never
das Abitur (D)→A, CH: Matura|Meine Tochter hat gerade Abitur gemacht.|My daughter has just graduated from high school. |2|0|never|never
ablehnen, lehnt ab, lehnte ab, hat abgelehnt|Er hat mein Angebot, ihm zu helfen, abgelehnt.|He has my offer to help him. |4|0|never|never
abmachen, macht ab, machte ab, hat abgemacht|Wir hatten doch abgemacht, dass du die Getränke besorgst.|We had climbed that you get the drinks. |4|0|never|never
abnehmen, nimmt ab, nahm ab, hat abgenommen|1. Morgen können wir den Verband abnehmen. 2. Ich habe zehn Kilo abgenommen.|1. Tomorrow we can take off the association. 2. I have decreased ten kilos. |4|0|never|never
