|family|base|nr_appearances|freq_corpus|highlighted
0|NOUN|Arbeit|7|0.000372|False
1|NOUN|Arbeiten|6|0.000372|False
2|NOUN|Das|8|0.0288|True
3|NOUN|Die|12|0.0302|True
4|NOUN|Es|7|0.012|True
5|NOUN|Jahr|3|0.000692|False
6|NOUN|Meinung|4|0.000138|False
7|NOUN|Person|7|0.000195|False
8|NOUN|Problem|5|0.000234|False
9|NOUN|ander|8|0.000692|False
10|NOUN|anderen|5|0.000692|False
11|NOUN|das|17|0.0288|True
12|NOUN|dem|6|0.0288|True
13|NOUN|den|23|0.0288|True
14|NOUN|der|161|0.0302|True
15|NOUN|des|9|0.0288|True
16|NOUN|die|51|0.0302|True
17|NOUN|dies|23|0.00158|True
18|NOUN|diese|10|0.00158|False
19|NOUN|du|5|0.00617|False
20|NOUN|ein|50|0.00813|True
21|NOUN|eine|15|0.00813|True
22|NOUN|einen|29|0.00813|True
23|NOUN|einer|12|0.00813|True
24|NOUN|erst|3|0.000575|False
25|NOUN|es|19|0.012|True
26|NOUN|ich|90|0.012|True
27|NOUN|kein|9|0.00145|False
28|NOUN|man|23|0.00288|True
29|NOUN|mein|20|0.00209|True
30|NOUN|sich|7|0.012|True
31|NOUN|sie|49|0.012|True
32|NOUN|verschieden|5|0.000141|False
33|NOUN|was|7|0.00309|False
34|NOUN|welch|10|0.000355|False
35|NOUN|welche|5|0.000355|False
36|NOUN|welcher|9|0.000355|False
37|OTHERS|In|5|0.0174|True
38|OTHERS|als|17|0.00513|True
39|OTHERS|auch|15|0.00603|True
40|OTHERS|auf|9|0.00776|True
41|OTHERS|aus|10|0.00398|True
42|OTHERS|dadurch|5|0.000148|False
43|OTHERS|dann|6|0.00224|False
44|OTHERS|dass|28|0.0049|True
45|OTHERS|durch|6|0.00182|False
46|OTHERS|einmal|3|0.0004570000000000001|False
47|OTHERS|für|11|0.00759|True
48|OTHERS|gut|5|0.00123|False
49|OTHERS|im|9|0.007240000000000002|True
50|OTHERS|in|27|0.0174|True
51|OTHERS|in dem|10|0.007240000000000002|True
52|OTHERS|mehr|6|0.00214|False
53|OTHERS|mit|18|0.00955|True
54|OTHERS|möglich|4|0.000251|False
55|OTHERS|nach|4|0.00363|False
56|OTHERS|nicht|25|0.0102|True
57|OTHERS|oder|12|0.00316|False
58|OTHERS|sondern|6|0.000589|False
59|OTHERS|um|12|0.00288|True
60|OTHERS|und|88|0.0263|True
61|OTHERS|von|12|0.00977|True
62|OTHERS|vor|7|0.00204|False
63|OTHERS|wenn|13|0.00324|False
64|OTHERS|wie|20|0.00447|True
65|OTHERS|zu|55|0.0102|True
66|OTHERS|zu dem|8|0.00368|False
67|OTHERS|zum|8|0.00368|False
68|VERB|"er|es|sie"|23|0.00617|True
69|VERB|führen|6|0.00015800000000000002|False
70|VERB|haben|18|0.00398|True
71|VERB|hat|9|0.00398|True
72|VERB|ist|29|0.012|True
73|VERB|kennen|3|0.000117|False
74|VERB|können|31|0.00251|True
75|VERB|sein|54|0.012|True
76|VERB|sich|24|0.00617|True
77|VERB|sind|12|0.00398|True
78|VERB|stellen|7|0.00024|False
79|VERB|werden|51|0.00316|True
